id	filename	md5	size	state
c2d74858-0dd5-4bd2-af69-6466a0b25491	TCGA-AA-3494-11A-01-TS1.267c284b-be17-427d-b505-3c652c2f4ad1.svs	06fd2ed92026eb9a20462c57f67e7055	89048697	released
b043439e-4a0e-4372-8050-3990ab1bf5de	TCGA-AA-3662-11A-01-TS1.23ca7378-a08a-41c6-aba3-c5fb9201498a.svs	02459a32fc3cfb20ff5696f39d586bed	66641839	released
e4d08307-0151-4ef2-823a-3e4ad06f60d2	TCGA-AA-A03J-11A-01-TS1.28ff155e-abda-40ca-9cd7-9df810fdba03.svs	248fa8950e0082095bdf99703c2e56e7	86590234	released
cd62b6e5-c4a5-4654-8bcb-e0e714891e35	TCGA-AA-3496-11A-01-TS1.46bbaeba-bf6a-4082-9dd2-d88491639fc9.svs	cf41cc97725078e8e7b9f5782416204a	75384143	released
5d0dbb5f-473f-4650-ae9d-bea8f89c449f	TCGA-AA-3713-11A-01-TS1.bdfd32d4-af93-49e9-add0-678cf5432eae.svs	21a1a32b2b1ec29a8fb0ad69269fa122	84917093	released
bf643ad4-09c3-40a6-bf78-e724aa4acdf0	TCGA-G4-6295-11A-01-TS1.d7c43f5d-7c84-42b5-a0ca-61021e0c5b04.svs	1c2c2668666e4a0db7555d0ba198e772	106427017	released
b1e5916b-064b-4a0e-84b9-d6109cf05ae3	TCGA-F4-6704-11A-01-TS1.eb9ec5ff-6864-463e-b3e9-f6b503a6ce5f.svs	8e5ce95c2bd063b97a45ad8827e212fb	180042173	released
5f174e61-88b7-4be0-8d5b-6106bb4d5d00	TCGA-AZ-6601-11A-01-TS1.ecbf5417-4662-4f06-9214-1717777de41f.svs	30b0c4dc3a81bb3268ba4789a8059830	254747433	released
acb4852d-fccd-4662-96ff-2a15fb4fbe99	TCGA-G4-6322-11A-01-TS1.0610fcae-27f8-4a12-b598-0b896987694f.svs	e4b6635badce67695ab3d6ad688f51a6	60929945	released
72e0a163-2f56-467e-a852-efcc954c6666	TCGA-A6-3807-11A-01-TS1.e73c0645-13ac-43fd-b8be-05036fa31fea.svs	769a6e99b8fe6735edd125b1f2a538e2	237681001	released
4ecfd054-e6cf-401e-b141-1f40acc299dc	TCGA-A6-2679-11A-01-TS1.da669be7-3686-48dd-a569-0634d631b543.svs	afbec40321169e0f7de9bc97b3f19433	69825607	released
40a015ef-30da-417a-a38c-4b4c9ea9053c	TCGA-AA-3531-11A-01-TS1.7671ed97-98f6-40b8-aaab-92d36cc69a6e.svs	8cf839045956d92f3be7d0a6d97fdd7d	61040585	released
45ab6797-62fa-4eed-8342-c613c2afdb9e	TCGA-AA-3712-11A-01-TS1.eb708abe-3410-45a3-8ad6-33e4f62dba93.svs	11f6f5aa61272ba6cd4dcb342f67792c	65714693	released
d7da95ef-d51d-4c81-ae9d-495b2b055de5	TCGA-AA-3516-11A-01-TS1.5adf75f8-2fda-4389-a137-6a159541f16c.svs	0a402766c0159f8c7b5fac13b6799530	40724505	released
5a241ed8-4152-40f9-90ac-fa7e993876f6	TCGA-AA-A022-11A-01-BS1.6a5f6ce4-52b6-462f-9fa4-3c485fa957d2.svs	b41a2ac9bb17799b3ed618af598a3fa7	68802200	released
d73af1b8-47a3-443a-b923-1198ad3b07ad	TCGA-A6-2677-11A-01-TS1.68cd2ccf-8816-400c-80fb-62ec6a03a0e3.svs	27b91758eab3f88ebe7bb29c9689805a	37444777	released
92b92582-21d4-4e09-aab8-6734882b5390	TCGA-AA-3526-11A-01-TS1.22c7e397-7fbc-4c9d-b800-9a355a9c1054.svs	70a77c5a9b696bc061102954cfb6bd04	27937681	released
c27fc322-7f8e-4f69-a321-da0e32ade362	TCGA-A6-3807-11A-01-BS1.31c26bf0-d481-4fed-8c69-306a30da2d91.svs	7ddf6441a52074e92a50ac4ecfde269d	174651319	released
fec65a25-bbad-48e8-8848-9235380721bd	TCGA-G4-6311-11A-01-TS1.a5b454c6-5abf-44ff-82e3-af348223a7a2.svs	2c6f0774dc0372ef6e8edec2203f182b	39942351	released
c846cbfa-25c4-467f-84b7-5e2b253a0a98	TCGA-AA-A01S-11A-01-BS1.aaf90c1f-543f-4fc4-bc59-81faae0ad6c7.svs	bbe2f6a0ee22cf29847b9d7b15ba7721	47842613	released
77dab7b1-e22c-4982-9c84-5af6bc3f8d5f	TCGA-AA-3492-11A-01-TS1.1d7fa1d7-fcef-47c2-b833-113508db8301.svs	1b9462ccdc6d39c2135c73edfc499803	43872429	released
691b515e-a89c-457a-ac2b-4f265d1ea3ee	TCGA-AA-A022-11A-01-TS1.1357f43c-91d8-4f3a-a7f6-1188482f4213.svs	bd250cd86b8c758d4164c79713c437a8	32730738	released
fc939eba-d11a-46e9-a088-49a4733a8e99	TCGA-AA-3660-11A-01-TS1.1d062562-400f-4a83-b7ac-f4ae82752432.svs	d72ae2a9bf75f85e7ac574de7dc98236	70894679	released
996896c4-4c32-41c6-99ba-cb086d260f5d	TCGA-A6-2676-11A-01-TS1.a2b894be-974e-4031-9b67-9bbe98e37fe4.svs	0b192070fd6a3ccbd39e6d0d25c530bb	89603569	released
64dd7939-58e6-4c64-bf1b-c2def816c85c	TCGA-A6-2680-11A-01-TS1.b35e0452-5097-4558-a5f3-ffa7c08c47b0.svs	20e6b73a0bbef858cec454e961505b65	60377263	released
99a52169-e525-4be1-a720-0c9293f44207	TCGA-AA-3522-11A-01-TS1.b24118e7-0d4f-4222-920c-e8be2b0adec2.svs	b945c499ec28981a3e2e3045bc14bd40	49628027	released
0f7e34ae-92c6-4a89-b00d-a31322cc3f79	TCGA-AA-A03F-11A-01-BS1.f6da16ec-2e6f-454a-af11-0012bc15b90d.svs	4e587eaf03bca3a865fe38cbd6f7b979	102199354	released
a5a2bc2f-0f4b-4d70-a018-04e00601f75e	TCGA-A6-5666-11A-01-TS1.dd49c24c-5594-4320-b058-bebaf1a89a17.svs	30923bd680d162cea8ca8e42fff0d03c	59951543	released
